,Модель,Описание,Цена
0,"
                    Xiaomi Redmi Note 12 Pro 256GB Blue
","
                Colour: Синий; Производитель: Xiaomi. 2G, 3G, 4G, Wi-Fi; ОС Android; Дисплей сенсорный 16,7 млн цв. 6.67""; Камера 108 Mpix, AF; MP3,  ГЛОНАСС / BEIDOU / Galileo / GPS; Вес: 202 г.
              ",26 990
1,"
                    Смартфон HTC Wildfire E lite 16Gb, черный
","
                Материал: стекло; Линейка: HTC Wildfare; Цвет: черный; Производитель: HTC. ОС Android 10 GO edition, FM-радио, GPS, время работы в режиме разговора, до: 15 ч, в режиме ожидания, до: 300 ч, чехол в комплекте, оперативная память: 2 ГБ, встроенная память: 16
              ",5 190
2,"
                    Смартфон Xiaomi 13 Lite 8/256GB (черный)
","
                Фотокамера (Мп): 50 + 8 + 2; Фронтальная камера (Мп): 32 + 8; Высота (мм): 159.2; Толщина (мм): 7.23; Вес (г): 171; Ширина (мм): 72.7; Плотность пикселей (PPI): 402; Диагональ экрана: 6.55""; Производитель: Xiaomi; Кол-во SIM-карт: две nano-SIM, Dual Stand
              ",35 990
3,"
                    Смартфон Xiaomi Redmi Note 12 Pro+ 8/256 ГБ, синий
","
                Вес: 550 г; Размер: Длина 26.000 Ширина 14.000 Высота 8.000; Глубина упаковки: 26.000 см; Ширина упаковки: 14.000 см; Высота упаковки: 8.000 см; crossborder: false; Название модели (для объединения в одну карточку): Redmi Note 12 Pro+; Модель устройства:
              ",33 795
4,"
                    Смартфон Infinix SMART 6 HD 2/32Gb Черный
","
                Артикул: 0101-8382; Диагональ экрана: 6.6""; Емкость аккумулятора: 5000mAh; Кол-во точек: 1; Количество SIM-карт: 2; Общий остаток: 1; Операционная система: Android 11 Go; Разрешение второй основной камеры: 0.8Мп; Разрешение основной камеры: 8Мп; Стандарты
              ",3 990
5,"
                    Смартфон Apple iPhone 11 128GB White (Белый)
","
                Объем встроенной памяти: 128GB; Операционная система: iOS; Тип устройства: Смартфон; Разрешение: 1792 x 828; Объем оперативной памяти: 4GB; Камера: 12 МП + 12 МП; Цвет: Белый; Производитель: Apple. Ничего лишнего. Только самое. Новая система двух камер.
              ",49 870
6,"
                    Смартфон Xiaomi Redmi Note 12 RU 8/256Gb Sunrise Gold
","
                Bluetooth: 5; Wi-Fi: 802.11ac; Вес, кг: 0.1835; Встроенная память: 256 Гб; Диагональ экрана, дюйм: 6.67; Емкость аккумулятора: 5000 мАч; ИК порт: есть; Камера, МП: 50+8+2; Количество SIM-карт: 2; Количество ядер: 8; Линейка: Xiaomi Redmi Note 12; Наличие
              ",17 570
7,"
                    Смартфон 50d Helium 4G 8Gb Black (502964)
","
                Производитель: Archos. Тип? смартфон Версия ОС? Android 5.1 Тип корпуса классический Управление? сенсорные кнопки Уровень SAR 0.36 Тип SIM-карты? micro SIM Количество SIM-карт? 2 Вес 154 г Размеры (ШxВxТ) 72.2x146x8.4 мм Тип экр
              ",5 799
8,"
                    Смартфон Huawei Nova 11 Pro (51097MTP)
","
                Смартфон; Производитель: Huawei. Смартфон 51097MTP Huawei Nova 11 Pro, 6.7"" 1080x2412 OLED, Qualcomm Snapdragon 778G, 8Gb RAM, 256Gb, 3G/4G, NFC, Wi-Fi, BT, 2xCam, 2-Sim, 4500 мА⋅ч, USB Type-C, Android, зеленый
              ",41 684
9,"
                    Смартфон Blackview BV9900 серый, 256GB/8GB, 3G, 4G, OS Android 9.0, Screen 5.84"", 2280 x 1080, IPS-LCD, USB type C, 2xNa
","
",67 467
10,"
                    Apple iPhone 15 Pro Max 1Tb White Titanium
","
                Цвет: Белый; Производитель: Apple; Диагональ: 6.7 дюйм.; Количество SIM-карт: 2; Тип Sim-карты: Nano SIM+eSIM; Встроенная память: 1 Tb. Apple iPhone 15 Pro Max 1Tb White Titanium – это современный смартфон с уникальными технологическими возможностями. Осн
              ",199 990
11,"
                    Смартфон Xiaomi Redmi Note 12 128 Gb Blue
","
                oldicode: 02051498; weight: 0.46; Бренд: Xiaomi; Модель: Redmi Note 12; Цвет: голубой; Цвет по англ.: Blue; Тип устройства: Смартфон; Стандарт связи: GSM 850/900/1800/1900; Поддерживаемые стандарты передачи данных: 2G; Интерфейсы: USB Type-C; Количество S
              ",18 700
12,"
                    Смартфон BQ 6631G Surf, 6.53', IPS, 2 sim, 2Гб, 16Гб, 8 Мп, microSD, 3000 мАч, синий
","
                Вес: 386 г; Количество в упаковке: 1; Тип индивидуальной упаковки: Цветная картонная коробка; Длина упаковки: 18; Высота упаковки: 5; Ширина упаковки: 9.5; Объем упаковки: 0.855; Объем продукта: 1.8; Объем бокса: 9; Материал: Металл; Цвет: Синий; Диагонал
              ",6 435
13,"
                    Смартфон Apple iPhone 14 Plus A2886 128ГБ, темная ночь, ИНДИЯ (mq4x3hn/a) Смартфоны APPLE
","
                Смартфоны; Производитель: APPLE. Смартфон Apple A2886 iPhone 14 Plus темная ночь, процессор A15 Bionic, оперативная память 6ГБ, встроенная память 128ГБ, дисплей 6.7"" 2778x1284, iOS 16, камера 12Mpix+12Mpix, поддержка 3G, 4G, 1Sim, 802.11 a/b/g/n/ac/ax, BT
              ",116 170
